#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  58
#! SET periodic_phi true
   -3.141592654   37.737332401   68.276256340
   -3.033261872   45.248462486   69.567473213
   -2.924931091   52.705036275   67.394259284
   -2.816600310   59.737766519   61.933348737
   -2.708269529   66.032384369   53.916161299
   -2.599938748   71.366851979   44.428805814
   -2.491607967   75.651301233   34.740890622
   -2.383277185   78.928503506   25.998504783
   -2.274946404   81.346057216   18.949526493
   -2.166615623   83.101847326   13.754002268
   -2.058284842   84.376683340    9.944319438
   -1.949954061   85.271897882    6.556110438
   -1.841623280   85.769333092    2.402007825
   -1.733292499   85.725655882   -3.582946580
   -1.624961717   84.903722498  -12.019045304
   -1.516630936   83.033419091  -22.873111819
   -1.408300155   79.886138748  -35.421443991
   -1.299969374   75.343337451  -48.393119412
   -1.191638593   69.441528626  -60.250796574
   -1.083307812   62.382592365  -69.527197183
   -0.974977030   54.508841581  -75.130783724
   -0.866646249   46.246192928  -76.517604892
   -0.758315468   38.052438870  -73.840179840
   -0.649984687   30.336118747  -67.751647547
   -0.541653906   23.414877568  -59.267240318
   -0.433323125   17.496187226  -49.586129581
   -0.324992343   12.646712821  -39.703464857
   -0.216661562    8.842954549  -30.483104361
   -0.108330781    5.980540470  -22.467081884
    0.000000000    3.909278273  -15.894550231
    0.108330781    2.470033359  -10.806037200
    0.216661562    1.507895309   -7.061193115
    0.324992343    0.883760184   -4.400789223
    0.433323125    0.491915648   -2.585535917
    0.541653906    0.257545729   -1.419297474
    0.649984687    0.114222596   -0.646816147
    0.758315468    0.048175321   -0.280989634
    0.866646249    0.016473711   -0.097353926
    0.974977030    0.004600987   -0.027099630
    1.083307812    0.001961912   -0.012103980
    1.191638593    0.000000000    0.000000000
    1.299969374    0.000000000    0.000000000
    1.408300155    0.004035981    0.024934801
    1.516630936    0.024289242    0.148108163
    1.624961717    0.067101048    0.395585579
    1.733292499    0.156254051    0.888230323
    1.841623280    0.317663571    1.727302380
    1.949954061    0.588050905    3.028831151
    2.058284842    1.033466686    5.015460672
    2.166615623    1.734295922    7.879697984
    2.274946404    2.796370151   11.821218164
    2.383277185    4.353127091   17.030081881
    2.491607967    6.547347837   23.564546450
    2.599938748    9.512999682   31.269726561
    2.708269529   13.371863258   39.845325872
    2.816600310   18.186939575   48.695099480
    2.924931091   23.938536260   56.970655436
    3.033261872   30.535746258   63.861884753
