#! FIELDS phi metad.bias der_phi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  58
#! SET periodic_phi true
   -3.141592654   37.879358808   68.540417138
   -3.033261872   45.419186702   69.830246278
   -2.924931091   52.903350115   67.637863155
   -2.816600310   59.960654844   62.140835072
   -2.708269529   66.275169036   54.074218524
   -2.599938748   71.623715798   44.530010267
   -2.491607967   75.915997370   34.784795208
   -2.383277185   79.195103160   25.991233175
   -2.274946404   81.609573719   18.901945232
   -2.166615623   83.358605126   13.678946315
   -2.058284842   84.624368117    9.853614929
   -1.949954061   85.509309189    6.458181258
   -1.841623280   85.995937476    2.300657446
   -1.733292499   85.941083815   -3.688351818
   -1.624961717   85.107354379  -12.132177839
   -1.516630936   83.224166340  -22.998583898
   -1.408300155   80.062460385  -35.562670671
   -1.299969374   75.503462278  -48.550744571
   -1.191638593   69.583799357  -60.422052369
   -1.083307812   62.505824429  -69.706257811
   -0.974977030   54.612598795  -75.309890424
   -0.866646249   46.330917146  -76.688563034
   -0.758315468   38.119417047  -73.995796336
   -0.649984687   30.387083500  -67.885258272
   -0.541653906   23.452563860  -59.378474862
   -0.433323125   17.523030863  -49.674181190
   -0.324992343   12.665134257  -39.769969080
   -0.216661562    8.855184491  -30.531443959
   -0.108330781    5.988363798  -22.500690784
    0.000000000    3.914099747  -15.916923407
    0.108330781    2.472860031  -10.820071410
    0.216661562    1.509515166   -7.069801098
    0.324992343    0.884654001   -4.405851208
    0.433323125    0.492354772   -2.588153870
    0.541653906    0.257681548   -1.420130865
    0.649984687    0.114222596   -0.646816147
    0.758315468    0.048175321   -0.280989634
    0.866646249    0.016473711   -0.097353926
    0.974977030    0.004600987   -0.027099630
    1.083307812    0.001961912   -0.012103980
    1.191638593    0.000000000    0.000000000
    1.299969374    0.000000000    0.000000000
    1.408300155    0.004035981    0.024934801
    1.516630936    0.024289242    0.148108163
    1.624961717    0.067101048    0.395585579
    1.733292499    0.156669477    0.890839095
    1.841623280    0.318468087    1.732067096
    1.949954061    0.589688093    3.038019855
    2.058284842    1.036485191    5.031408359
    2.166615623    1.739545074    7.905586119
    2.274946404    2.805157610   11.861472763
    2.383277185    4.367289530   17.089995746
    2.491607967    6.569390175   23.650244728
    2.599938748    9.545960830   31.386433413
    2.708269529   13.419335833   39.996992628
    2.816600310   18.252878849   48.883309736
    2.924931091   24.026881986   57.193293600
    3.033261872   30.649815179   64.111488339
