#! FIELDS phi psi metad.bias der_phi der_psi
#! SET min_phi -pi
#! SET max_phi pi
#! SET nbins_phi  58
#! SET periodic_phi true
#! SET min_psi -pi
#! SET max_psi pi
#! SET nbins_psi  31
#! SET periodic_psi true
   -3.141592654   -3.141592654  113.134316113   46.717442384  -15.590581544
   -3.033261872   -3.141592654  117.725974893   37.424147570  -16.509479041
   -2.924931091   -3.141592654  121.255852870   27.162327777  -17.145644446
   -2.816600310   -3.141592654  123.659279353   16.792807046  -17.557948576
   -2.708269529   -3.141592654  124.993809512    7.334580226  -17.753598280
   -2.599938748   -3.141592654  125.366264120   -0.647075934  -17.788993648
   -2.491607967   -3.141592654  124.979321804   -6.621872903  -17.790984437
   -2.383277185   -3.141592654  124.070027266  -10.432747255  -17.799506793
   -2.274946404   -3.141592654  122.861237072  -12.179325333  -17.928716115
   -2.166615623   -3.141592654  121.554294039  -12.192726711  -18.284849643
   -2.058284842   -3.141592654  120.320788287  -11.120925603  -18.898373296
   -1.949954061   -3.141592654  119.214472200   -9.640887181  -19.872378802
   -1.841623280   -3.141592654  118.248353376   -8.416500745  -21.189329931
   -1.733292499   -3.141592654  117.365202327   -8.059816038  -22.848219588
   -1.624961717   -3.141592654  116.442628479   -9.048874945  -24.747593124
   -1.516630936   -3.141592654  115.328150577  -11.633514230  -26.732276717
   -1.408300155   -3.141592654  113.818794653  -15.802376044  -28.690869572
   -1.299969374   -3.141592654  111.795138269  -21.390311007  -30.488435978
   -1.191638593   -3.141592654  109.102988009  -27.871713754  -31.921359352
   -1.083307812   -3.141592654  105.687490772  -34.625817389  -32.846463846
   -0.974977030   -3.141592654  101.558703265  -40.900268959  -33.179039890
   -0.866646249   -3.141592654   96.842005737  -45.863168860  -32.790083834
   -0.758315468   -3.141592654   91.675349329  -49.019252977  -31.657121053
   -0.649984687   -3.141592654   86.304920348  -49.837200138  -29.791569406
   -0.541653906   -3.141592654   80.978435052  -47.972489589  -27.222892096
   -0.433323125   -3.141592654   76.021477580  -43.383901637  -24.033399435
   -0.324992343   -3.141592654   71.703636860  -36.156579483  -20.283854170
   -0.216661562   -3.141592654   68.276883142  -26.615883721  -16.100828940
   -0.108330781   -3.141592654   66.002534959  -15.231661387  -11.626375406
    0.000000000   -3.141592654   65.024750698   -2.716426274   -6.989772970
    0.108330781   -3.141592654   65.404855025   10.157147513   -2.372381806
    0.216661562   -3.141592654   67.139550877   22.252267943    1.947134242
    0.324992343   -3.141592654   70.096308392   32.656378191    5.962942137
    0.433323125   -3.141592654   74.050696221   40.283867905    9.400397015
    0.541653906   -3.141592654   78.646374343   44.418855605   12.231407714
    0.649984687   -3.141592654   83.477591205   44.392424816   14.335655808
    0.758315468   -3.141592654   88.066882658   40.047847854   15.656805121
    0.866646249   -3.141592654   91.964116639   31.688442457   16.213423415
    0.974977030   -3.141592654   94.781815187   20.100360914   16.103979759
    1.083307812   -3.141592654   96.225982784    6.435404828   15.388502055
    1.191638593   -3.141592654   96.151925058   -7.762370159   14.207998308
    1.299969374   -3.141592654   94.590327434  -20.950716336   12.678386618
    1.408300155   -3.141592654   91.715150207  -31.608590776   10.980320083
    1.516630936   -3.141592654   87.887085605  -38.630137455    9.179174685
    1.624961717   -3.141592654   83.534827850  -41.286578535    7.407242906
    1.733292499   -3.141592654   79.139199598  -39.409866453    5.701820423
    1.841623280   -3.141592654   75.180112202  -33.271168495    4.068756351
    1.949954061   -3.141592654   72.088461138  -23.445090585    2.507386155
    2.058284842   -3.141592654   70.217011775  -10.953908973    0.927117469
    2.166615623   -3.141592654   69.781416997    3.127328423   -0.696869176
    2.274946404   -3.141592654   70.898245606   17.506026605   -2.332501222
    2.383277185   -3.141592654   73.528646308   31.047265706   -4.094585267
    2.491607967   -3.141592654   77.555826971   42.845822032   -5.947240000
    2.599938748   -3.141592654   82.712391116   51.874943618   -7.787972332
    2.708269529   -3.141592654   88.679337615   57.717921409   -9.631319779
    2.816600310   -3.141592654   95.086429715   59.979332079  -11.399475951
    2.924931091   -3.141592654  101.527008470   58.673206293  -12.989717420
    3.033261872   -3.141592654  107.648600969   54.048661315  -14.419470891

   -3.141592654   -2.938909257  109.652380245   45.153704053  -21.790303829
   -3.033261872   -2.938909257  114.100179107   36.416335198  -22.750588212
   -2.924931091   -2.938909257  117.543593809   26.673849604  -23.385923161
   -2.816600310   -2.938909257  119.925785689   16.736332362  -23.653029367
   -2.708269529   -2.938909257  121.260884575    7.531613627  -23.669687115
   -2.599938748   -2.938909257  121.683441619   -0.254291951  -23.516735673
   -2.491607967   -2.938909257  121.339275985   -6.267782296  -23.261498427
   -2.383277185   -2.938909257  120.466229361  -10.215091814  -23.024860303
   -2.274946404   -2.938909257  119.268512802  -12.342962167  -22.872001951
   -2.166615623   -2.938909257  117.917576743  -12.942737755  -22.956445715
   -2.058284842   -2.938909257  116.557258648  -12.546447943  -23.376688963
   -1.949954061   -2.938909257  115.247516376  -11.782353323  -24.125755082
   -1.841623280   -2.938909257  114.014646771  -11.273969871  -25.225875894
   -1.733292499   -2.938909257  112.779230386  -11.543173594  -26.631609471
   -1.624961717   -2.938909257  111.445286176  -12.929571296  -28.235348102
   -1.516630936   -2.938909257  109.884491363  -15.631769065  -29.937242658
   -1.408300155   -2.938909257  107.950182538  -19.675489160  -31.533617186
   -1.299969374   -2.938909257  105.525232873  -24.747762824  -32.865453104
   -1.191638593   -2.938909257  102.513205180  -30.332841422  -33.766442106
   -1.083307812   -2.938909257   98.888774474  -35.953733527  -34.041356525
